,CCN,CODCNH,Nombre Centro,Dirección,Teléfono,Cód. Municipio,Municipio,Cód. Provincia,Provincia,Cód. CCAA,CCAA,Código Postal,CAMAS,Cód. Clase de Centro,Clase de Centro,Cód. Dep. Funcional,Dependencia Funcional,Forma parte Complejo,CODIDCOM,Nombre del Complejo,ALTA,Email
0,1531000730,310121,Hospital García Orcoyen,Calle Santa Soria 22 -,848435000,310977,Estella-Lizarra,31,Navarra,15,C. Foral De Navarra,31200,108,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,gerencia.areasalud.estella@navarra.es
1,1531000737,310044,Hospital San Juan De Dios,Calle Beloso Alto 3 -,948231800,312016,Pamplona/Iruña,31,Navarra,15,C. Foral De Navarra,31006,256,C11,Hospitales Generales,20,Privados,N,,,N,hsjdpamplona@ohsjd.es
2,1531000733,310060,Clínica Universidad De Navarra,Avenida Pio Si 36 -,948255400,312016,Pamplona/Iruña,31,Navarra,15,C. Foral De Navarra,31008,230,C11,Hospitales Generales,20,Privados,N,,,N,direccioncun@unav.es
3,1531000736,310057,Clínica Psiquiátrica Padre Menni,Calle Joaquín Venza 45 -,948140611,312016,Pamplona/Iruña,31,Navarra,15,C. Foral De Navarra,31014,217,C14,Hospitales de salud mental y tratamiento de toxicomanías,20,Privados,N,,,N,gerencia.mennipamplona@hospitalarias.es
4,1531000738,310076,Clínica Arcángel San Miguel - Pamplona,Calle Beloso Alto 32 -,948296000,312016,Pamplona/Iruña,31,Navarra,15,C. Foral De Navarra,31006,72,C11,Hospitales Generales,20,Privados,N,,,N,clinicasanmiguel@clinicasanmiguel.com
5,1531000739,310039,Centro San Francisco Javier,Avenida Villada 53 -,948422730,312016,Pamplona/Iruña,31,Navarra,15,C. Foral De Navarra,31015,84,C14,Hospitales de salud mental y tratamiento de toxicomanías,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,unidad.media.estancia@navarra.es
6,1531002230,310150,Hospital Universitario De Navarra,Calle Irunlarrea 3 -,848422222,312016,Pamplona/Iruña,31,Navarra,15,C. Foral De Navarra,31008,1077,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,gerchna@navarra.es
7,1531000729,310137,Hospital Reina Sofía,Carretera Tarazona KM. 3 -,848434000,312325,Tudela,31,Navarra,15,C. Foral De Navarra,31500,190,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,hrst@navarra.es
8,1232000112,320126,Hospital Público De Valdeorras,Avenida Conde De Fenosa 50,988339000,320090,"Barco de Valdeorras, O",32,Ourense,12,Galicia,32300,100,C11,Hospitales Generales,2,Servicios E Institutos De Salud De Las Comunidades Autónomas,N,,,N,
9,1232000115,320163,Clínica Santa Teresa,Calle Sáenz Diez 11,988371710,320548,Ourense,32,Ourense,12,Galicia,32003,49,C11,Hospitales Generales,20,Privados,N,,,N,correo@cosaga.com
