Comunidades y Ciudades Autónomas	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
01 Andalucía	7,79	7,74	7,73	7,86	7,88	8,02	8,07	7,80	8,08	7,93	8,11	8,18	8,07	8,45	8,56	8,27	8,17	8,30	8,60	8,24	8,45	7,88	8,10	8,03	7,85	7,76	7,87	8,15	7,83	7,90	8,57	8,24	8,48	8,66	8,35	9,25	9,33
02 Aragón	9,56	9,56	9,24	9,44	9,72	9,77	10,07	9,58	10,12	10,09	10,41	10,42	10,62	10,84	11,25	10,47	10,59	10,66	11,12	10,59	10,83	10,12	10,14	10,03	9,87	9,82	10,08	10,24	10,01	10,35	10,85	10,24	10,80	10,72	10,28	12,55	11,06
03 Asturias, Principado de	9,72	9,44	9,58	9,81	9,95	10,39	10,52	10,42	10,75	10,37	11,06	11,25	10,94	11,42	11,82	11,62	11,21	11,70	12,01	11,82	11,96	11,60	11,86	11,86	11,85	11,82	11,79	12,28	11,97	12,15	12,98	12,73	12,77	12,93	12,64	14,33	13,25
04 Balears, Illes	9,52	9,63	9,18	8,93	9,55	9,54	9,67	9,15	9,21	8,88	9,05	8,78	8,86	8,87	9,15	8,88	8,39	8,21	8,18	7,63	7,71	7,34	7,06	7,08	7,23	7,06	7,00	7,31	6,88	7,00	7,37	6,94	7,21	6,98	6,67	7,04	7,22
05 Canarias	6,61	6,38	6,56	6,87	6,82	6,77	6,80	6,75	6,91	6,68	6,57	6,93	6,84	7,19	7,28	7,21	7,07	6,85	6,94	6,85	6,82	6,60	6,68	6,70	6,34	6,23	6,54	6,73	6,46	6,76	7,10	7,02	7,05	7,45	7,10	7,34	7,63
06 Cantabria	8,53	8,39	8,14	8,62	8,84	8,96	8,98	9,11	9,30	9,16	9,47	9,76	9,56	9,70	10,10	10,00	9,50	9,80	9,91	9,46	9,62	9,66	9,81	9,50	9,40	9,27	9,48	9,83	9,52	10,06	10,35	10,21	10,26	10,49	10,33	11,11	10,37
07 Castilla y León	8,85	8,72	8,70	9,02	9,03	9,44	9,63	9,54	9,69	9,59	9,87	10,02	9,94	10,44	10,65	10,40	10,31	10,72	10,94	10,64	11,04	10,45	10,82	10,76	10,66	10,65	10,65	11,18	10,98	11,18	11,89	11,63	11,96	12,15	11,95	15,14	12,31
08 Castilla - La Mancha	9,62	9,20	9,07	9,13	9,43	9,31	9,77	9,57	9,82	9,68	9,63	9,83	9,46	9,91	10,03	9,59	9,82	9,89	9,83	9,43	9,51	8,90	9,06	8,86	8,56	8,35	8,58	9,07	8,75	8,89	9,70	9,37	9,94	9,64	9,55	12,65	9,97
09 Cataluña	7,82	7,78	7,82	8,09	8,36	8,64	8,70	8,58	8,67	8,58	8,78	8,72	8,89	8,98	9,30	8,88	8,91	8,94	9,15	8,51	8,90	8,18	8,30	8,15	8,09	7,98	8,02	8,40	8,17	8,29	8,77	8,53	8,88	8,86	8,48	10,42	9,05
10 Comunitat Valenciana	8,45	8,39	8,39	8,74	8,83	8,78	8,88	8,73	8,79	8,88	8,73	8,96	9,01	8,96	9,36	8,88	8,98	8,94	9,16	8,54	8,70	8,14	8,21	8,08	8,04	8,04	8,15	8,46	8,16	8,40	8,99	8,66	9,09	9,16	8,80	9,64	9,83
